"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"220006","Total number of national feature films produced","EST","Estonia","2007","2007",14,,
"220006","Total number of national feature films produced","EST","Estonia","2008","2008",9,,
"220006","Total number of national feature films produced","EST","Estonia","2009","2009",12,,
"220006","Total number of national feature films produced","EST","Estonia","2010","2010",5,,
"220006","Total number of national feature films produced","EST","Estonia","2011","2011",13,,
"220006","Total number of national feature films produced","EST","Estonia","2012","2012",21,,
"220006","Total number of national feature films produced","EST","Estonia","2013","2013",18,,
"220006","Total number of national feature films produced","EST","Estonia","2014","2014",19,,
"220006","Total number of national feature films produced","EST","Estonia","2015","2015",25,,
"220006","Total number of national feature films produced","LVA","Latvia","2005","2005",4,,
"220006","Total number of national feature films produced","LVA","Latvia","2006","2006",6,,
"220006","Total number of national feature films produced","LVA","Latvia","2007","2007",7,,
"220006","Total number of national feature films produced","LVA","Latvia","2008","2008",7,,
"220006","Total number of national feature films produced","LVA","Latvia","2009","2009",9,,
"220006","Total number of national feature films produced","LVA","Latvia","2010","2010",11,,
"220006","Total number of national feature films produced","LVA","Latvia","2011","2011",6,,
"220006","Total number of national feature films produced","LVA","Latvia","2012","2012",11,,
"220006","Total number of national feature films produced","LVA","Latvia","2013","2013",10,,
"220006","Total number of national feature films produced","LVA","Latvia","2014","2014",22,,
"220006","Total number of national feature films produced","LVA","Latvia","2015","2015",17,,
"220006","Total number of national feature films produced","LTU","Lithuania","2005","2005",2,,
"220006","Total number of national feature films produced","LTU","Lithuania","2006","2006",1,,
"220006","Total number of national feature films produced","LTU","Lithuania","2007","2007",1,,
"220006","Total number of national feature films produced","LTU","Lithuania","2008","2008",3,,
"220006","Total number of national feature films produced","LTU","Lithuania","2009","2009",2,,
"220006","Total number of national feature films produced","LTU","Lithuania","2010","2010",7,,
"220006","Total number of national feature films produced","LTU","Lithuania","2011","2011",2,,
"220006","Total number of national feature films produced","LTU","Lithuania","2012","2012",6,,
"220006","Total number of national feature films produced","LTU","Lithuania","2013","2013",15,,
"220006","Total number of national feature films produced","LTU","Lithuania","2014","2014",15,,
"220006","Total number of national feature films produced","LTU","Lithuania","2015","2015",9,,
"220006","Total number of national feature films produced","MKD","The former Yugoslav Republic of Macedonia","2005","2005",2,,
"220006","Total number of national feature films produced","MKD","The former Yugoslav Republic of Macedonia","2006","2006",2,,
"220006","Total number of national feature films produced","MKD","The former Yugoslav Republic of Macedonia","2007","2007",6,,
"220006","Total number of national feature films produced","MKD","The former Yugoslav Republic of Macedonia","2008","2008",,"n","Magnitude nil or negligible"
"220006","Total number of national feature films produced","MKD","The former Yugoslav Republic of Macedonia","2009","2009",2,,
"220006","Total number of national feature films produced","MKD","The former Yugoslav Republic of Macedonia","2010","2010",4,,
"220006","Total number of national feature films produced","MKD","The former Yugoslav Republic of Macedonia","2011","2011",12,,
"220006","Total number of national feature films produced","MKD","The former Yugoslav Republic of Macedonia","2012","2012",10,"‡","UIS Estimation"
"220006","Total number of national feature films produced","MKD","The former Yugoslav Republic of Macedonia","2013","2013",3,"‡","UIS Estimation"
"220006","Total number of national feature films produced","MKD","The former Yugoslav Republic of Macedonia","2014","2014",7,,
"220006","Total number of national feature films produced","MKD","The former Yugoslav Republic of Macedonia","2015","2015",10,,
"220006","Total number of national feature films produced","MDA","Republic of Moldova","2005","2005",1,,
"220006","Total number of national feature films produced","MDA","Republic of Moldova","2006","2006",3,,
"220006","Total number of national feature films produced","MDA","Republic of Moldova","2007","2007",1,,
"220006","Total number of national feature films produced","MDA","Republic of Moldova","2008","2008",2,,
"220006","Total number of national feature films produced","MDA","Republic of Moldova","2009","2009",1,,
"220006","Total number of national feature films produced","MDA","Republic of Moldova","2012","2012",,"n","Magnitude nil or negligible"
"220006","Total number of national feature films produced","MDA","Republic of Moldova","2013","2013",3,,
"220006","Total number of national feature films produced","MDA","Republic of Moldova","2014","2014",2,,
"220006","Total number of national feature films produced","MDA","Republic of Moldova","2015","2015",1,,
"220006","Total number of national feature films produced","ROU","Romania","2005","2005",20,,
"220006","Total number of national feature films produced","ROU","Romania","2006","2006",18,,
"220006","Total number of national feature films produced","ROU","Romania","2007","2007",12,,
"220006","Total number of national feature films produced","ROU","Romania","2008","2008",14,,
"220006","Total number of national feature films produced","ROU","Romania","2009","2009",22,,
"220006","Total number of national feature films produced","ROU","Romania","2010","2010",29,,
"220006","Total number of national feature films produced","ROU","Romania","2011","2011",17,,
"220006","Total number of national feature films produced","ROU","Romania","2012","2012",38,"‡","UIS Estimation"
"220006","Total number of national feature films produced","ROU","Romania","2013","2013",37,"‡","UIS Estimation"
"220006","Total number of national feature films produced","ROU","Romania","2014","2014",38,,
"220006","Total number of national feature films produced","ROU","Romania","2015","2015",26,,
"220006","Total number of national feature films produced","RUS","Russian Federation","2005","2005",62,"‡","UIS Estimation"
"220006","Total number of national feature films produced","RUS","Russian Federation","2006","2006",59,"‡","UIS Estimation"
"220006","Total number of national feature films produced","RUS","Russian Federation","2007","2007",78,"‡","UIS Estimation"
"220006","Total number of national feature films produced","RUS","Russian Federation","2008","2008",78,"‡","UIS Estimation"
"220006","Total number of national feature films produced","RUS","Russian Federation","2009","2009",78,"‡","UIS Estimation"
"220006","Total number of national feature films produced","RUS","Russian Federation","2010","2010",133,"‡","UIS Estimation"
"220006","Total number of national feature films produced","RUS","Russian Federation","2011","2011",111,"‡","UIS Estimation"
"220006","Total number of national feature films produced","RUS","Russian Federation","2012","2012",109,"‡","UIS Estimation"
"220006","Total number of national feature films produced","RUS","Russian Federation","2013","2013",139,"‡","UIS Estimation"
"220006","Total number of national feature films produced","RUS","Russian Federation","2014","2014",124,"‡","UIS Estimation"
"220006","Total number of national feature films produced","RUS","Russian Federation","2015","2015",121,"‡","UIS Estimation"
"220006","Total number of national feature films produced","SVN","Slovenia","2005","2005",10,,
"220006","Total number of national feature films produced","SVN","Slovenia","2006","2006",4,,
"220006","Total number of national feature films produced","SVN","Slovenia","2007","2007",5,,
"220006","Total number of national feature films produced","SVN","Slovenia","2008","2008",8,,
"220006","Total number of national feature films produced","SVN","Slovenia","2009","2009",11,,
"220006","Total number of national feature films produced","SVN","Slovenia","2010","2010",8,,
"220006","Total number of national feature films produced","SVN","Slovenia","2011","2011",19,,
"220006","Total number of national feature films produced","SVN","Slovenia","2012","2012",10,,
"220006","Total number of national feature films produced","SVN","Slovenia","2013","2013",13,,
